|                  data|uncertainty| identifier|
|                double|     double|       char|
|                      |      %    |           |
|                  null|       null|       null|
  0.0008213427473399932        30.0 CII_158/FIR 
  0.0009541830740291714        30.0 CII_158/FIR 
  0.0008673727920368448        30.0 CII_158/FIR 
  0.0010208100278330278        30.0 CII_158/FIR 
  0.0011020501320338518        30.0 CII_158/FIR 
  0.0009997739006108485        30.0 CII_158/FIR 
  0.0008567476801789642        30.0 CII_158/FIR 
  0.0006562723343126405        30.0 CII_158/FIR 
  0.0006915618941900971        30.0 CII_158/FIR 
  0.0009655566305119159        30.0 CII_158/FIR 
   0.001164896187292945        30.0 CII_158/FIR 
  0.0011922690541824666        30.0 CII_158/FIR 
  0.0010218926042571547        30.0 CII_158/FIR 
  0.0007374367998174884        30.0 CII_158/FIR 
   0.000492374218155408        30.0 CII_158/FIR 
  0.0008686546664759848        30.0 CII_158/FIR 
  0.0010273255990614566        30.0 CII_158/FIR 
  0.0011838850632776845        30.0 CII_158/FIR 
  0.0013131395410014863        30.0 CII_158/FIR 
  0.0012205063860087888        30.0 CII_158/FIR 
  0.0009400153206977251        30.0 CII_158/FIR 
  0.0006179677484718556        30.0 CII_158/FIR 
 0.00047792726877142206        30.0 CII_158/FIR 
  0.0003972774040688654        30.0 CII_158/FIR 
  0.0003106213060910668        30.0 CII_158/FIR 
 0.00023855986993613374        30.0 CII_158/FIR 
  0.0011009092730182104        30.0 CII_158/FIR 
  0.0011587168925618239        30.0 CII_158/FIR 
  0.0011692600984392894        30.0 CII_158/FIR 
   0.001257983858316805        30.0 CII_158/FIR 
   0.001314534130589811        30.0 CII_158/FIR 
  0.0011736416271428706        30.0 CII_158/FIR 
  0.0008588042413356673        30.0 CII_158/FIR 
  0.0007038979634566879        30.0 CII_158/FIR 
  0.0006151432105989596        30.0 CII_158/FIR 
  0.0004306195391660912        30.0 CII_158/FIR 
  0.0002724480297599391        30.0 CII_158/FIR 
  0.0010250303461750293        30.0 CII_158/FIR 
   0.001141738718472777        30.0 CII_158/FIR 
  0.0011679361820240936        30.0 CII_158/FIR 
   0.001236642780923722        30.0 CII_158/FIR 
  0.0013841612632019625        30.0 CII_158/FIR 
  0.0013684053551482034        30.0 CII_158/FIR 
   0.001124726776847022        30.0 CII_158/FIR 
  0.0010423331154974854        30.0 CII_158/FIR 
  0.0008499189241547222        30.0 CII_158/FIR 
  0.0005864633720406667        30.0 CII_158/FIR 
  0.0003682398898516304        30.0 CII_158/FIR 
 0.00022789509984362107        30.0 CII_158/FIR 
  0.0011046609118228819        30.0 CII_158/FIR 
  0.0013232643398922487        30.0 CII_158/FIR 
  0.0015776505602315234        30.0 CII_158/FIR 
  0.0017131432771317458        30.0 CII_158/FIR 
  0.0015602081951205124        30.0 CII_158/FIR 
  0.0014669023811936927        30.0 CII_158/FIR 
  0.0010919827708729712        30.0 CII_158/FIR 
  0.0007455426068596518        30.0 CII_158/FIR 
  0.0004723786137288864        30.0 CII_158/FIR 
  0.0003190397505561838        30.0 CII_158/FIR 
 0.00019558110007512756        30.0 CII_158/FIR 
  0.0013325399514849386        30.0 CII_158/FIR 
  0.0014458298047334028        30.0 CII_158/FIR 
  0.0013160485551890614        30.0 CII_158/FIR 
  0.0011555307267616406        30.0 CII_158/FIR 
  0.0009078729540762739        30.0 CII_158/FIR 
  0.0007274167139928674        30.0 CII_158/FIR 
  0.0005218490623744282        30.0 CII_158/FIR 
 0.00036747290673197063        30.0 CII_158/FIR 
  0.0006706169111526727        30.0 CII_158/FIR 
  0.0006096323077620148        30.0 CII_158/FIR 
  0.0004939208029949438        30.0 CII_158/FIR 
 0.00039299276281022806        30.0 CII_158/FIR 
 0.00036634634404336506        30.0 CII_158/FIR 
 0.00033530614585522666        30.0 CII_158/FIR 
 0.00022921346965800197        30.0 CII_158/FIR 
 0.00017942150050155324        30.0 CII_158/FIR 
 0.00016786143753773575        30.0 CII_158/FIR 
 0.00020472891011229919        30.0 CII_158/FIR 
