|                  data|uncertainty| identifier|
|                double|     double|       char|
|                      |      %    |           |
|                  null|       null|       null|
  0.0004135983165272512        28.0 CII_158/FIR 
 0.00033083973039776753        28.0 CII_158/FIR 
   0.000689737027969939        28.0 CII_158/FIR 
 0.00044010657769143885        28.0 CII_158/FIR 
  0.0003448167460823165        28.0 CII_158/FIR 
  0.0008070751512201793        28.0 CII_158/FIR 
   0.000559582209892513        28.0 CII_158/FIR 
 0.00040549292981834783        28.0 CII_158/FIR 
 0.00035823718101143855        28.0 CII_158/FIR 
  0.0003054974057930962        28.0 CII_158/FIR 
  0.0006244724841417582        28.0 CII_158/FIR 
  0.0005037294073977593        28.0 CII_158/FIR 
  0.0004270967087075251        28.0 CII_158/FIR 
  0.0003822009307155904        28.0 CII_158/FIR 
  0.0003189764812986446        28.0 CII_158/FIR 
  0.0002719077405244274        28.0 CII_158/FIR 
  0.0006704755643381429        28.0 CII_158/FIR 
   0.000589897224320841        28.0 CII_158/FIR 
  0.0005416129724057599        28.0 CII_158/FIR 
 0.00047665276789454606        28.0 CII_158/FIR 
 0.00038007348429398944        28.0 CII_158/FIR 
 0.00029851116651850445        28.0 CII_158/FIR 
 0.00026832873246317656        28.0 CII_158/FIR 
  0.0002704521572478674        28.0 CII_158/FIR 
 0.00027884431107260294        28.0 CII_158/FIR 
  0.0006155849944014071        28.0 CII_158/FIR 
  0.0007146398948156282        28.0 CII_158/FIR 
  0.0006558014051500566        28.0 CII_158/FIR 
  0.0005511225051824509        28.0 CII_158/FIR 
  0.0004599879679526064        28.0 CII_158/FIR 
 0.00033743408028935563        28.0 CII_158/FIR 
 0.00026790562174400776        28.0 CII_158/FIR 
  0.0002778332294949689        28.0 CII_158/FIR 
   0.000327255132692135        28.0 CII_158/FIR 
 0.00035316027168195144        28.0 CII_158/FIR 
  0.0006962576246919403        28.0 CII_158/FIR 
  0.0007642572232154034        28.0 CII_158/FIR 
   0.000770108367377541        28.0 CII_158/FIR 
  0.0006257821505860559        28.0 CII_158/FIR 
  0.0004678261731646776        28.0 CII_158/FIR 
  0.0003626419709590941        28.0 CII_158/FIR 
 0.00027166514712041327        28.0 CII_158/FIR 
 0.00024311814189038216        28.0 CII_158/FIR 
 0.00028966388625666724        28.0 CII_158/FIR 
 0.00038390380043339264        28.0 CII_158/FIR 
  0.0004377435542825215        28.0 CII_158/FIR 
   0.000858289031665939        28.0 CII_158/FIR 
  0.0008327928743092235        28.0 CII_158/FIR 
  0.0006611558927435338        28.0 CII_158/FIR 
  0.0004764852945018053        28.0 CII_158/FIR 
  0.0003441100529028046        28.0 CII_158/FIR 
  0.0002644876521683867        28.0 CII_158/FIR 
 0.00022670335386074626        28.0 CII_158/FIR 
 0.00025137342115018736        28.0 CII_158/FIR 
 0.00033326190839548617        28.0 CII_158/FIR 
  0.0004194129828633033        28.0 CII_158/FIR 
  0.0004699624107783712        28.0 CII_158/FIR 
  0.0007382598735912175        28.0 CII_158/FIR 
   0.000678708753375498        28.0 CII_158/FIR 
  0.0005339253411147051        28.0 CII_158/FIR 
  0.0003883206627157186        28.0 CII_158/FIR 
  0.0002919691824503705        28.0 CII_158/FIR 
  0.0002514066301993419        28.0 CII_158/FIR 
  0.0002539104040971452        28.0 CII_158/FIR 
  0.0003386904940756789        28.0 CII_158/FIR 
  0.0004255806998449977        28.0 CII_158/FIR 
 0.00044192429763870525        28.0 CII_158/FIR 
 0.00048452269737989085        28.0 CII_158/FIR 
  0.0006732073063538574        28.0 CII_158/FIR 
  0.0005812047635870339        28.0 CII_158/FIR 
  0.0005011395953519839        28.0 CII_158/FIR 
  0.0004585742359002332        28.0 CII_158/FIR 
  0.0004230941985670901        28.0 CII_158/FIR 
  0.0003723577546240793        28.0 CII_158/FIR 
   0.000358218983824029        28.0 CII_158/FIR 
   0.000379177876300945        28.0 CII_158/FIR 
 0.00043158805155417727        28.0 CII_158/FIR 
  0.0004621541052552533        28.0 CII_158/FIR 
  0.0004544003317793338        28.0 CII_158/FIR 
  0.0007021298573928763        28.0 CII_158/FIR 
  0.0005164833658845377        28.0 CII_158/FIR 
  0.0004313859873231864        28.0 CII_158/FIR 
  0.0004773159523090648        28.0 CII_158/FIR 
  0.0006135725679900364        28.0 CII_158/FIR 
  0.0006419345992080166        28.0 CII_158/FIR 
  0.0005429090189529614        28.0 CII_158/FIR 
  0.0004655773828592837        28.0 CII_158/FIR 
  0.0004161060651589633        28.0 CII_158/FIR 
 0.00042067408507917423        28.0 CII_158/FIR 
   0.000827299592923138        28.0 CII_158/FIR 
   0.000643134821770229        28.0 CII_158/FIR 
  0.0004839601406030833        28.0 CII_158/FIR 
 0.00047857978798770593        28.0 CII_158/FIR 
  0.0006254953724504834        28.0 CII_158/FIR 
   0.000860060140875224        28.0 CII_158/FIR 
  0.0008533500092599077        28.0 CII_158/FIR 
  0.0006890649131165108        28.0 CII_158/FIR 
  0.0005180448588225205        28.0 CII_158/FIR 
  0.0004084519248119963        28.0 CII_158/FIR 
  0.0004172448434162601        28.0 CII_158/FIR 
  0.0006604528853309152        28.0 CII_158/FIR 
  0.0006374569624564627        28.0 CII_158/FIR 
 0.00046900361160755324        28.0 CII_158/FIR 
