|                 data|uncertainty| identifier|
|               double|     double|       char|
|                     |      %    |           |
|                 null|       null|       null|
  0.003619842962437319        20.0 CII_158/FIR 
   0.00603784649985499        20.0 CII_158/FIR 
  0.005695936988326479        20.0 CII_158/FIR 
  0.005150933835793945        20.0 CII_158/FIR 
   0.00429915121673636        20.0 CII_158/FIR 
 0.0034131549853772384        20.0 CII_158/FIR 
  0.003336794751465119        20.0 CII_158/FIR 
  0.004072332480641716        20.0 CII_158/FIR 
  0.004352923395590959        20.0 CII_158/FIR 
  0.003922070822821784        20.0 CII_158/FIR 
 0.0027975087569361077        20.0 CII_158/FIR 
  0.002144741780283866        20.0 CII_158/FIR 
  0.006143167349911814        20.0 CII_158/FIR 
 0.0066583181382209675        20.0 CII_158/FIR 
  0.006043526237247997        20.0 CII_158/FIR 
   0.00523150456886805        20.0 CII_158/FIR 
 0.0048019888898462575        20.0 CII_158/FIR 
  0.004735045115177937        20.0 CII_158/FIR 
  0.005026740997450155        20.0 CII_158/FIR 
  0.004614245170216222        20.0 CII_158/FIR 
  0.003948468210472382        20.0 CII_158/FIR 
 0.0028315378998016575        20.0 CII_158/FIR 
  0.002254797054697051        20.0 CII_158/FIR 
  0.006620130103457217        20.0 CII_158/FIR 
  0.005980716261730595        20.0 CII_158/FIR 
  0.006210316979509226        20.0 CII_158/FIR 
  0.005765680011012253        20.0 CII_158/FIR 
   0.00563908430536628        20.0 CII_158/FIR 
  0.005163749897571698        20.0 CII_158/FIR 
  0.004965916074082385        20.0 CII_158/FIR 
  0.004610943040909082        20.0 CII_158/FIR 
  0.003711826093047699        20.0 CII_158/FIR 
 0.0026521171939465978        20.0 CII_158/FIR 
 0.0021127978482302925        20.0 CII_158/FIR 
  0.005982415821257947        20.0 CII_158/FIR 
  0.006058022310116785        20.0 CII_158/FIR 
   0.00633758861169751        20.0 CII_158/FIR 
  0.007011137203405285        20.0 CII_158/FIR 
  0.006511312141700311        20.0 CII_158/FIR 
  0.005754385061958774        20.0 CII_158/FIR 
  0.004835675979037425        20.0 CII_158/FIR 
 0.0035753518773112285        20.0 CII_158/FIR 
 0.0027334854644355698        20.0 CII_158/FIR 
 0.0022008134455432054        20.0 CII_158/FIR 
 0.0023254605238707034        20.0 CII_158/FIR 
  0.005970206834731061        20.0 CII_158/FIR 
  0.006866107667163928        20.0 CII_158/FIR 
  0.007735661949187193        20.0 CII_158/FIR 
  0.007660900762954452        20.0 CII_158/FIR 
    0.0072005805750882        20.0 CII_158/FIR 
 0.0062361846998919435        20.0 CII_158/FIR 
  0.004780414135755419        20.0 CII_158/FIR 
  0.003763261971587426        20.0 CII_158/FIR 
 0.0030637896672260937        20.0 CII_158/FIR 
 0.0025874705161073198        20.0 CII_158/FIR 
  0.002452600651922627        20.0 CII_158/FIR 
