|            data |uncertainty|identifier|
|          double |     double|      char|
|erg s-1 cm-2 sr-1|       %   |          |
|            null |       null|      null|
  0.21563889086246        20.0        FIR
  0.15965759754181        20.0        FIR
  0.16677650809288        20.0        FIR
  0.18355388939381        20.0        FIR
  0.20054368674755        20.0        FIR
  0.22912175953388        20.0        FIR
  0.23739618062973        20.0        FIR
  0.21794417500496        20.0        FIR
  0.19034858047962        20.0        FIR
  0.18969771265984        20.0        FIR
  0.20584014058113        20.0        FIR
  0.22313705086708        20.0        FIR
  0.16570414602757        20.0        FIR
  0.15604761242867        20.0        FIR
   0.1618475317955        20.0        FIR
  0.17835278809071        20.0        FIR
  0.18900181353092        20.0        FIR
  0.19116352498531        20.0        FIR
  0.18916137516499        20.0        FIR
  0.18340653181076        20.0        FIR
  0.18739572167397        20.0        FIR
  0.20814268290997        20.0        FIR
  0.24495938420296        20.0        FIR
  0.16024672985077        20.0        FIR
  0.16566060483456        20.0        FIR
  0.17152597010136        20.0        FIR
  0.18287333846092        20.0        FIR
  0.19336369633675        20.0        FIR
   0.1985976099968        20.0        FIR
  0.19684970378876        20.0        FIR
  0.19039325416088        20.0        FIR
  0.19743399322033        20.0        FIR
  0.23400329053402        20.0        FIR
  0.29336261749268        20.0        FIR
  0.16466328501701        20.0        FIR
  0.16438448429108        20.0        FIR
  0.15983644127846        20.0        FIR
  0.16109170019627        20.0        FIR
   0.1748203933239        20.0        FIR
   0.1954303085804        20.0        FIR
  0.21996603906155        20.0        FIR
  0.24867717921734        20.0        FIR
  0.28159990906715        20.0        FIR
  0.29603731632233        20.0        FIR
  0.29794347286224        20.0        FIR
  0.14751152694225        20.0        FIR
   0.1431727707386        20.0        FIR
  0.14192444086075        20.0        FIR
  0.15359973907471        20.0        FIR
  0.16237829625607        20.0        FIR
  0.17892089486122        20.0        FIR
  0.20942072570324        20.0        FIR
   0.2376181781292        20.0        FIR
  0.25794380903244        20.0        FIR
  0.28674566745758        20.0        FIR
  0.32890170812607        20.0        FIR
